iter	Logloss
0	0.6571425113
1	0.6210335236
2	0.5939611583
3	0.5713071236
4	0.5475241196
5	0.5403447968
6	0.5236579018
7	0.5106589126
8	0.5003616739
9	0.4909998575
10	0.4811081565
11	0.4750200162
12	0.4680192273
13	0.4644673465
14	0.4580382997
15	0.4535989686
16	0.4502900041
17	0.4456406234
18	0.4439468987
19	0.4409832686
20	0.4377544955
21	0.4354287953
22	0.4320463812
23	0.429831183
24	0.4261471425
25	0.4244371113
26	0.423383936
27	0.4205872729
28	0.4188336015
29	0.4174087394
30	0.4157465095
31	0.4136046941
32	0.412084148
33	0.4111647158
34	0.4102816424
35	0.4085997084
36	0.4081760232
37	0.406571355
38	0.4055435921
39	0.4037993149
40	0.4026877656
41	0.4016974473
42	0.39954526
43	0.3985118958
44	0.3952505462
45	0.3943618633
46	0.3922543964
47	0.3907279555
48	0.3893616535
49	0.3885892434
50	0.3865673588
51	0.3855846337
52	0.3846483684
53	0.3834273281
54	0.3827900269
55	0.3822013005
56	0.38132927
57	0.3811229683
58	0.3803241525
59	0.3796675375
60	0.3788148933
61	0.3783491238
62	0.3772229738
63	0.3764751196
64	0.3759603291
65	0.3740341523
66	0.3735515643
67	0.3725233125
68	0.3719573047
69	0.3706856966
70	0.3695868845
71	0.3691113453
72	0.3685802007
73	0.3680580209
74	0.3671333174
75	0.3666225251
76	0.3659574119
77	0.3655312254
78	0.3647160951
79	0.3642011821
80	0.3636026772
81	0.3632132772
82	0.3627346956
83	0.3616312645
84	0.3612889339
85	0.3607485374
86	0.3601576869
87	0.3597404584
88	0.3587732628
89	0.3583753709
90	0.3578881814
91	0.3568525826
92	0.3562666448
93	0.3558543904
94	0.354934
95	0.3539089653
96	0.3531296906
97	0.3527887639
98	0.3524388654
99	0.3517043877
100	0.3511083306
101	0.350688675
102	0.349930933
103	0.3491372539
104	0.3486750636
105	0.3478749344
106	0.3471175485
107	0.3465706064
108	0.3456264183
109	0.3448292412
110	0.3442651467
111	0.343832017
112	0.3434844743
113	0.3429420833
114	0.342121053
115	0.3414787911
116	0.3410857797
117	0.3407119102
118	0.3400180663
119	0.3394255502
120	0.338811032
121	0.3379913707
122	0.3374188771
123	0.3370726169
124	0.3363412357
125	0.3356189301
126	0.3352472639
127	0.3345766194
128	0.3341796634
129	0.3337135052
130	0.3332771633
131	0.3327623667
132	0.3321331371
133	0.3315148668
134	0.3307656835
135	0.3303262142
136	0.3297577609
137	0.3293752566
138	0.3289346564
139	0.3283461275
140	0.3277769867
141	0.3272210538
142	0.3264049729
143	0.3260500844
144	0.3255989521
145	0.3251062191
146	0.3247935534
147	0.3243213531
148	0.3239495983
149	0.3234791996
150	0.3228721386
151	0.3225970626
152	0.3221227104
153	0.3216584268
154	0.3213511276
155	0.320909953
156	0.3204553883
157	0.3202159093
158	0.3197205583
159	0.3193312135
160	0.3189340754
161	0.3184856228
162	0.31812632
163	0.3176046759
164	0.3172778802
165	0.3170651177
166	0.3167870752
167	0.3162265792
168	0.3158096962
169	0.3152413311
170	0.3149961195
171	0.3146601817
172	0.3144740196
173	0.3140168469
174	0.3135744156
175	0.3132658388
176	0.3127448634
177	0.3124488507
178	0.311495483
179	0.3109386824
180	0.3106624015
181	0.3104442451
182	0.3097053812
183	0.3092941222
184	0.3089279008
185	0.3087087235
186	0.3084779302
187	0.3080983059
188	0.3077425184
189	0.3074712261
190	0.3070585001
191	0.3066292086
192	0.3062169215
193	0.3058830013
194	0.3053790812
195	0.3048673309
196	0.3046534221
197	0.3042767988
198	0.3039945067
199	0.3037560089
